Stop,Name,Category,Latitude,Longitude,Location,Description,PWA
1,Love Canal,Waste / chemical history,43.0806,-78.9488,"Love Canal, Niagara Falls, NY","The warning Niagara could not ignore. Hooker Chemical buried roughly 21,000 tons of chemical waste here between 1942 and 1952.",https://greetingsfromniagara.github.io/ToxicTours/
2,Electromet · Union Carbide,Buffalo Avenue atomic + chemical corridor,43.1019,-78.9555,"South of Pine Avenue, east of Packard Road, Niagara Falls, NY","Manhattan Project uranium metal production: uranium tetrafluoride was reduced to uranium metal, generating radioactive slag and residues.",https://greetingsfromniagara.github.io/ToxicTours/
3,Hooker Chemical · Buffalo Avenue,Buffalo Avenue atomic + chemical corridor,43.07847,-79.0099,"Buffalo Avenue at 47th Street, Niagara Falls, NY","Chemical industry, uranium-recovery context, the 1975 chlorine tank-car explosion, and asbestos-worker history.",https://greetingsfromniagara.github.io/ToxicTours/
4,Goodyear Chemical,Buffalo Avenue atomic + chemical corridor,43.086111,-79.001944,"5500 Goodyear Drive, Niagara Falls, NY 14304","Active industrial context within the Buffalo Avenue manufacturing corridor.",https://greetingsfromniagara.github.io/ToxicTours/
5,Carborundum · Buffalo Avenue,Buffalo Avenue atomic + chemical corridor,43.0902,-78.9657,"23 Acheson Drive / Buffalo Avenue, Niagara Falls, NY","Final Niagara-area industrial leg in the project’s uranium route before the waste route to LOOW/NFSS.",https://greetingsfromniagara.github.io/ToxicTours/
6,Highland Avenue,Highland / Pine atomic + metals corridor,43.122623,-79.039978,"3801–3807 Highland Avenue, Niagara Falls, NY","Vanadium, Airco, SKW and Globe: heavy metallurgy, slag, landfill history and off-site fill reuse.",https://greetingsfromniagara.github.io/ToxicTours/
7,Union Carbide landfill · Newco / CECOS,Waste / fill / disposal network,43.093953,-78.962762,"5600 Niagara Falls Boulevard, Niagara Falls, NY","A key node in the regional waste network where Union Carbide material was buried, hauled, sold and reused.",https://greetingsfromniagara.github.io/ToxicTours/
8,LOOW · Niagara Falls Storage Site,Waste / federal storage,43.217,-78.986,"1397 Pletcher Road, Lewiston, NY 14092","Former Lake Ontario Ordnance Works and the federal Niagara Falls Storage Site; Manhattan Project and Atomic Energy Commission waste storage and consolidation.",https://greetingsfromniagara.github.io/ToxicTours/
9,Model City · the patchwork beyond NFSS,Waste / former-LOOW tracts,43.266,-78.944,"Pletcher Road / Balmer Road / Model City Road, Model City, NY","CWM and Modern Disposal on separate former-LOOW tracts; later radiological findings show that the history extends beyond the federal boundary.",https://greetingsfromniagara.github.io/ToxicTours/
11,Bell Aircraft · Bell Aerospace,Aerospace + rocket research,43.0996152,-78.9346682,"Former Bell Wheatfield plant · Niagara Falls Boulevard / Walmore Road","X-1 and Mach 1, X-2, RASCAL nuclear missile work, rocket propulsion, vertical-flight research, space systems and the environmental afterlife of rocket testing.",https://greetingsfromniagara.github.io/ToxicTours/
